TICKER;EMPRESA;CNPJ
RPMG3;REFINARIA DE PETROLEOS MANGUINHOS;33.412.081/0001-96
RNEW11;RENOVA ENERGIA;08.534.605/0001-74
RNEW3;RENOVA ENERGIA;08.534.605/0001-74
RNEW4;RENOVA ENERGIA;08.534.605/0001-74
LLIS3;RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS;49.669.856/0001-43
GEPA3;RIO PARANAPANEMA ENERGIA;02.998.301/0001-81
GEPA4;RIO PARANAPANEMA ENERGIA;02.998.301/0001-81
RSID3;ROSSI RESIDENCIAL;61.065.751/0001-80
RAIL3;RUMO;02.387.241/0001-60
STBP3;SANTOS BRASIL;02.762.121/0001-04
SCAR3;SAO CARLOS;29.780.061/0001-09
SMTO3;SAO MARTINHO;51.466.860/0001-56
SLED3;SARAIVA LIVREIROS EDITORES;60.500.139/0001-26
SLED4;SARAIVA LIVREIROS EDITORES;60.500.139/0001-26
SHUL3;SCHULZ;84.693.183/0001-68
SHUL4;SCHULZ;84.693.183/0001-68
SEQL3;SEQUOIA;01.599.101/0001-93
SEER3;SER EDUCACIONAL;04.986.320/0001-13
SIMH3;SIMPAR;07.415.333/0001-20
SQIA3;SINQIA;04.065.791/0001-99
SLCE3;SLC AGRICOLA;89.096.457/0001-55
SMFT3;SMARTFIT;07.594.978/0001-78
SMLS3;SMILES FIDELIDADE;05.730.375/0001-20
SEDU3;SOMOS EDUCAÇÃO;02.541.982/0001-54
SSBR3;SONAE SIERRA BRASIL;05.878.397/0001-32
SGPS3;SPRINGS GLOBAL;07.718.269/0001-57
SULA11;SUL AMERICA;29.978.814/0001-87
SULA3;SUL AMERICA;29.978.814/0001-87
SULA4;SUL AMERICA;29.978.814/0001-87
SUZB3;SUZANO PAPEL E CELULOSE;16.404.287/0001-55
SHOW3;T4F ENTRETENIMENTO;02.860.694/0001-62
TASA3;TAURUS ARMAS;92.781.335/0001-02
TASA4;TAURUS ARMAS;92.781.335/0001-02
TRAD3;TC;26.345.998/0001-50
TECN3;TECHNOS;09.295.063/0001-97
TCSA3;TECNISA;08.065.557/0001-12
TCNO3;TECNOSOLO ENGENHARIA;33.111.246/0001-90
TCNO4;TECNOSOLO ENGENHARIA;33.111.246/0001-90
TGMA3;TEGMA GESTAO LOGISTICA;02.351.144/0001-18
TEGA3;TEGRA;30.213.493/0001-09
TEKA3;TEKA-TECELAGEM KUEHNRICH;82.636.986/0001-55
TEKA4;TEKA-TECELAGEM KUEHNRICH;82.636.986/0001-55
VIVT3;TELEFÔNICA BRASIL;02.558.157/0001-62
VIVT4;TELEFÔNICA BRASIL;02.558.157/0001-62
TESA3;TERRA SANTA AGRO;05.799.312/0001-20
TIMP3;TIM;02.558.115/0001-21
TOTS3;TOTVS;53.113.791/0001-22
TFCO4;TRACK & FIELD;59.418.806/0001-47
TAEE11;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA;07.859.971/0001-30
TAEE3;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA;07.859.971/0001-30
TAEE4;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA;07.859.971/0001-30
TRIS3;TRISUL;08.811.643/0001-27
TPIS3;TRIUNFO PART;03.014.553/0001-91
TUPY3;TUPY;84.683.374/0001-49
UGPA3;ULTRAPAR PARTICIPACOES;33.256.439/0001-39
UCAS3;UNICASA INDÚSTRIA DE MÓVEIS;90.441.460/0001-48
FIQE3;UNIFIQUE;2.255.187/0001-08
UNIP3;UNIPAR CARBOCLORO S.A.;33.958.695/0001-78
UNIP5;UNIPAR CARBOCLORO S.A.;33.958.695/0001-78
UNIP6;UNIPAR CARBOCLORO S.A.;33.958.695/0001-78
USIM3;USINAS SIDERÚRGICAS DE MINAS GERAIS – USIMINAS;60.894.730/0001-05
USIM5;USINAS SIDERÚRGICAS DE MINAS GERAIS – USIMINAS;60.894.730/0001-05
USIM6;USINAS SIDERÚRGICAS DE MINAS GERAIS – USIMINAS;60.894.730/0001-05
VALE3;VALE;33.592.510/0001-54
VLID3;VALID SOLUÇÕES;33.113.309/0001-47
VIIA3;VIA VAREJO;33.041.260/0652-90
VBBR3;VIBRA ENERGIA;34.274.233/0001-02
VITT3;VITTIA;45.365.558/0001-09
VIVA3;VIVARA;33.839.910/0001-11
VVEO3;VIVEO;12.420.164/0001-57
VULC3;VULCABRAS/AZALEIA;50.926.955/0001-42
WEGE3;WEG;84.429.695/0001-11
WEST3;WESTWING;14.776.142/0001-50
WHRL3;WHIRLPOOL;59.105.999/0001-86
WHRL4;WHIRLPOOL;59.105.999/0001-86
WSON33;WILSON SONS;05.721.735/0001-28
WIZC3;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS;42.278.473/0001-03
YDUQ3;YDUQS;08.807.432/0001-10
ZAMP3;ZAMP SA;13.574.594/0001-96
ABCP11;FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;01.201.140/0001-90
AFHI11;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS;36.642.293/0001-58
AIEC11;AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.765.826/0001-26
